HCHO Reading,Location,Current Date,Next Date
0.00012643137974120453,"Bibile, Monaragala",2019-01-01,2019-01-02
1.919914652467399e-05,"Bibile, Monaragala",2019-01-02,2019-01-03
2.8114479359302837e-05,"Bibile, Monaragala",2019-01-03,2019-01-04
3.747998184385943e-05,"Bibile, Monaragala",2019-01-04,2019-01-05
0.00014578368961799026,"Bibile, Monaragala",2019-01-06,2019-01-07
2.8285908025465342e-05,"Bibile, Monaragala",2019-01-07,2019-01-08
0.00012643137974120453,"Bibile, Monaragala",2019-01-08,2019-01-09
0.00014208501670509577,"Bibile, Monaragala",2019-01-09,2019-01-10
0.00012643137974120453,"Bibile, Monaragala",2019-01-10,2019-01-11
2.014587947072581e-05,"Bibile, Monaragala",2019-01-11,2019-01-12
0.00015827876632101837,"Bibile, Monaragala",2019-01-12,2019-01-13
0.00012643137974120453,"Bibile, Monaragala",2019-01-13,2019-01-14
0.00012643137974120453,"Bibile, Monaragala",2019-01-14,2019-01-15
9.952823849642218e-05,"Bibile, Monaragala",2019-01-15,2019-01-16
7.484570960514249e-05,"Bibile, Monaragala",2019-01-16,2019-01-17
7.736112226328797e-05,"Bibile, Monaragala",2019-01-17,2019-01-18
0.00012643137974120453,"Bibile, Monaragala",2019-01-18,2019-01-19
3.9881410104076654e-05,"Bibile, Monaragala",2019-01-19,2019-01-20
0.00018916202038533428,"Bibile, Monaragala",2019-01-20,2019-01-21
0.00011599699264237457,"Bibile, Monaragala",2019-01-21,2019-01-22
0.00014135236237093095,"Bibile, Monaragala",2019-01-22,2019-01-23
7.165379525100222e-05,"Bibile, Monaragala",2019-01-23,2019-01-24
0.00012643137974120453,"Bibile, Monaragala",2019-01-24,2019-01-25
0.00012643137974120453,"Bibile, Monaragala",2019-01-26,2019-01-27
0.00018056736899607327,"Bibile, Monaragala",2019-01-27,2019-01-28
9.113160086427455e-05,"Bibile, Monaragala",2019-01-28,2019-01-29
7.241739856355372e-05,"Bibile, Monaragala",2019-01-29,2019-01-30
0.00012643137974120453,"Bibile, Monaragala",2019-01-30,2019-01-31
4.098144742473462e-05,"Bibile, Monaragala",2019-01-31,2019-02-01
5.186428352058307e-05,"Bibile, Monaragala",2019-02-01,2019-02-02
0.00012643137974120453,"Bibile, Monaragala",2019-02-02,2019-02-03
