HCHO Reading,Location,Current Date,Next Date
9.165608034246397e-05,"Deniyaya, Matara",2019-01-01,2019-01-02
5.803530712000793e-06,"Deniyaya, Matara",2019-01-02,2019-01-03
0.00023623577726539224,"Deniyaya, Matara",2019-01-03,2019-01-04
6.437245753953118e-05,"Deniyaya, Matara",2019-01-04,2019-01-05
5.349707092885017e-05,"Deniyaya, Matara",2019-01-05,2019-01-06
0.00013155948591896908,"Deniyaya, Matara",2019-01-06,2019-01-07
6.269859896976347e-05,"Deniyaya, Matara",2019-01-07,2019-01-08
2.298263979970634e-05,"Deniyaya, Matara",2019-01-08,2019-01-09
9.165608034246397e-05,"Deniyaya, Matara",2019-01-09,2019-01-10
7.190247186715247e-05,"Deniyaya, Matara",2019-01-10,2019-01-11
0.00015420914410340872,"Deniyaya, Matara",2019-01-11,2019-01-12
0.0001406986305217021,"Deniyaya, Matara",2019-01-12,2019-01-13
9.165608034246397e-05,"Deniyaya, Matara",2019-01-13,2019-01-14
9.165608034246397e-05,"Deniyaya, Matara",2019-01-14,2019-01-15
7.187311712186784e-05,"Deniyaya, Matara",2019-01-15,2019-01-16
3.5053075407631695e-05,"Deniyaya, Matara",2019-01-16,2019-01-17
0.00016948531360558901,"Deniyaya, Matara",2019-01-17,2019-01-18
6.0375266285424514e-05,"Deniyaya, Matara",2019-01-20,2019-01-21
3.363791867442001e-05,"Deniyaya, Matara",2019-01-22,2019-01-23
0.0001753175803488352,"Deniyaya, Matara",2019-01-23,2019-01-24
5.2793313875356256e-05,"Deniyaya, Matara",2019-01-24,2019-01-25
9.165608034246397e-05,"Deniyaya, Matara",2019-01-25,2019-01-26
9.165608034246397e-05,"Deniyaya, Matara",2019-01-26,2019-01-27
9.165608034246397e-05,"Deniyaya, Matara",2019-01-27,2019-01-28
0.00015865174670921304,"Deniyaya, Matara",2019-01-28,2019-01-29
0.00010377208178759385,"Deniyaya, Matara",2019-01-29,2019-01-30
9.165608034246397e-05,"Deniyaya, Matara",2019-01-30,2019-01-31
4.768084267461017e-05,"Deniyaya, Matara",2019-01-31,2019-02-01
5.6171687908308084e-05,"Deniyaya, Matara",2019-02-01,2019-02-02
0.0001028843263981939,"Deniyaya, Matara",2019-02-03,2019-02-04
0.00010354817641200499,"Deniyaya, Matara",2019-02-04,2019-02-05
8.412867361170815e-05,"Deniyaya, Matara",2019-02-05,2019-02-06
0.00014957983031559018,"Deniyaya, Matara",2019-02-07,2019-02-08
0.00024215116119068872,"Deniyaya, Matara",2019-02-08,2019-02-09
9.165608034246397e-05,"Deniyaya, Matara",2019-02-09,2019-02-10
9.165608034246397e-05,"Deniyaya, Matara",2019-02-10,2019-02-11
9.253276543587998e-05,"Deniyaya, Matara",2019-02-11,2019-02-12
0.00015741026904810134,"Deniyaya, Matara",2019-02-12,2019-02-13
6.523994226828871e-05,"Deniyaya, Matara",2019-02-13,2019-02-14
9.165608034246397e-05,"Deniyaya, Matara",2019-02-15,2019-02-16
8.038732615390482e-05,"Deniyaya, Matara",2019-02-16,2019-02-17
0.00012938213048451126,"Deniyaya, Matara",2019-02-18,2019-02-19
0.00011686151351180439,"Deniyaya, Matara",2019-02-19,2019-02-20
8.337509543093406e-05,"Deniyaya, Matara",2019-02-20,2019-02-21
2.514510513135289e-05,"Deniyaya, Matara",2019-02-21,2019-02-22
0.00014250700754591384,"Deniyaya, Matara",2019-02-22,2019-02-23
0.00013666942454368077,"Deniyaya, Matara",2019-02-23,2019-02-24
0.00016276256024335298,"Deniyaya, Matara",2019-02-24,2019-02-25
0.00015436778695474156,"Deniyaya, Matara",2019-02-25,2019-02-26
9.165608034246397e-05,"Deniyaya, Matara",2019-02-26,2019-02-27
9.165608034246397e-05,"Deniyaya, Matara",2019-02-27,2019-02-28
0.00016639317431625444,"Deniyaya, Matara",2019-02-28,2019-03-01
9.165608034246397e-05,"Deniyaya, Matara",2019-03-01,2019-03-02
9.165608034246397e-05,"Deniyaya, Matara",2019-03-04,2019-03-05
9.165608034246397e-05,"Deniyaya, Matara",2019-03-05,2019-03-06
9.971738595225878e-05,"Deniyaya, Matara",2019-03-06,2019-03-07
0.00013566459287798216,"Deniyaya, Matara",2019-03-07,2019-03-08
9.873556396184881e-05,"Deniyaya, Matara",2019-03-08,2019-03-09
9.165608034246397e-05,"Deniyaya, Matara",2019-03-09,2019-03-10
5.6466989097736635e-05,"Deniyaya, Matara",2019-03-10,2019-03-11
0.00015901443071479385,"Deniyaya, Matara",2019-03-11,2019-03-12
0.00011714894863976178,"Deniyaya, Matara",2019-03-12,2019-03-13
9.165608034246397e-05,"Deniyaya, Matara",2019-03-13,2019-03-14
0.00026783193671116074,"Deniyaya, Matara",2019-03-14,2019-03-15
0.00019734857360285748,"Deniyaya, Matara",2019-03-15,2019-03-16
5.13548232774661e-05,"Deniyaya, Matara",2019-03-16,2019-03-17
9.165608034246397e-05,"Deniyaya, Matara",2019-03-17,2019-03-18
4.457512841327116e-05,"Deniyaya, Matara",2019-03-18,2019-03-19
0.0002551880668476385,"Deniyaya, Matara",2019-03-19,2019-03-20
8.954724124801195e-05,"Deniyaya, Matara",2019-03-20,2019-03-21
9.165608034246397e-05,"Deniyaya, Matara",2019-03-21,2019-03-22
0.00010810704932991114,"Deniyaya, Matara",2019-03-22,2019-03-23
0.0001883458499592095,"Deniyaya, Matara",2019-03-23,2019-03-24
0.0001717275043490183,"Deniyaya, Matara",2019-03-24,2019-03-25
0.00016505041454614437,"Deniyaya, Matara",2019-03-26,2019-03-27
0.0001789494366016304,"Deniyaya, Matara",2019-03-27,2019-03-28
