HCHO Reading,Location,Current Date,Next Date
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-01,2019-01-02
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-02,2019-01-03
0.00019082938869567843,Nuwara Eliya Proper,2019-01-03,2019-01-04
5.0976259171277377e-05,Nuwara Eliya Proper,2019-01-04,2019-01-05
6.456645496655256e-05,Nuwara Eliya Proper,2019-01-05,2019-01-06
8.982348709518115e-05,Nuwara Eliya Proper,2019-01-06,2019-01-07
4.097797651418246e-05,Nuwara Eliya Proper,2019-01-07,2019-01-08
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-08,2019-01-09
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-09,2019-01-10
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-10,2019-01-11
3.914670787137749e-05,Nuwara Eliya Proper,2019-01-11,2019-01-12
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-12,2019-01-13
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-13,2019-01-14
4.211950727039948e-05,Nuwara Eliya Proper,2019-01-14,2019-01-15
4.27055256923008e-05,Nuwara Eliya Proper,2019-01-15,2019-01-16
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-16,2019-01-17
0.00010771554809122464,Nuwara Eliya Proper,2019-01-17,2019-01-18
2.1021983917616697e-05,Nuwara Eliya Proper,2019-01-18,2019-01-19
3.5177822608346057e-05,Nuwara Eliya Proper,2019-01-19,2019-01-20
8.95718212363389e-06,Nuwara Eliya Proper,2019-01-20,2019-01-21
0.00011696235570849296,Nuwara Eliya Proper,2019-01-21,2019-01-22
0.0001423180803672958,Nuwara Eliya Proper,2019-01-22,2019-01-23
5.387086215710865e-05,Nuwara Eliya Proper,2019-01-23,2019-01-24
5.8914353326833725e-05,Nuwara Eliya Proper,2019-01-24,2019-01-25
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-25,2019-01-26
8.792586073767327e-05,Nuwara Eliya Proper,2019-01-26,2019-01-27
0.0003344381531667087,Nuwara Eliya Proper,2019-01-27,2019-01-28
0.00015090177723746967,Nuwara Eliya Proper,2019-01-28,2019-01-29
0.00018415694765481214,Nuwara Eliya Proper,2019-01-29,2019-01-30
3.054402387193301e-05,Nuwara Eliya Proper,2019-01-30,2019-01-31
3.6008610393953005e-05,Nuwara Eliya Proper,2019-01-31,2019-02-01
7.778077086008773e-05,Nuwara Eliya Proper,2019-02-01,2019-02-02
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-02,2019-02-03
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-03,2019-02-04
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-04,2019-02-05
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-05,2019-02-06
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-06,2019-02-07
8.962996522611401e-05,Nuwara Eliya Proper,2019-02-07,2019-02-08
6.902842232093944e-05,Nuwara Eliya Proper,2019-02-08,2019-02-09
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-09,2019-02-10
5.539429507152505e-05,Nuwara Eliya Proper,2019-02-10,2019-02-11
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-11,2019-02-12
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-12,2019-02-13
7.972334424266592e-05,Nuwara Eliya Proper,2019-02-13,2019-02-14
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-14,2019-02-15
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-15,2019-02-16
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-16,2019-02-17
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-17,2019-02-18
0.00017330924468628338,Nuwara Eliya Proper,2019-02-18,2019-02-19
0.0002395688257623661,Nuwara Eliya Proper,2019-02-19,2019-02-20
0.00010757249040024109,Nuwara Eliya Proper,2019-02-20,2019-02-21
-7.767660943011708e-05,Nuwara Eliya Proper,2019-02-21,2019-02-22
-2.5037994831152824e-05,Nuwara Eliya Proper,2019-02-22,2019-02-23
0.00018952218198052022,Nuwara Eliya Proper,2019-02-23,2019-02-24
0.0002737589225376871,Nuwara Eliya Proper,2019-02-24,2019-02-25
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-25,2019-02-26
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-26,2019-02-27
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-27,2019-02-28
8.792586073767327e-05,Nuwara Eliya Proper,2019-02-28,2019-03-01
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-01,2019-03-02
0.00012354057977523956,Nuwara Eliya Proper,2019-03-02,2019-03-03
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-03,2019-03-04
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-04,2019-03-05
0.00014772640812876656,Nuwara Eliya Proper,2019-03-05,2019-03-06
6.384192250393643e-05,Nuwara Eliya Proper,2019-03-06,2019-03-07
0.00016732222462669005,Nuwara Eliya Proper,2019-03-07,2019-03-08
8.084443465562647e-05,Nuwara Eliya Proper,2019-03-08,2019-03-09
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-09,2019-03-10
6.543632959168698e-05,Nuwara Eliya Proper,2019-03-10,2019-03-11
6.152930957380892e-05,Nuwara Eliya Proper,2019-03-11,2019-03-12
0.0002626515739848696,Nuwara Eliya Proper,2019-03-12,2019-03-13
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-13,2019-03-14
9.745691103711994e-05,Nuwara Eliya Proper,2019-03-14,2019-03-15
0.0001547611296419195,Nuwara Eliya Proper,2019-03-15,2019-03-16
0.00012652245424167518,Nuwara Eliya Proper,2019-03-16,2019-03-17
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-17,2019-03-18
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-18,2019-03-19
3.81896059352209e-05,Nuwara Eliya Proper,2019-03-19,2019-03-20
-4.17166297978817e-06,Nuwara Eliya Proper,2019-03-20,2019-03-21
8.792586073767327e-05,Nuwara Eliya Proper,2019-03-21,2019-03-22
