date,City,river_discharge
2019-01-01,Colombo,104.196205
2019-01-02,Colombo,98.77
2019-01-03,Colombo,93.84184
2019-01-04,Colombo,89.364944
2019-01-05,Colombo,84.70378
2019-01-06,Colombo,80.096115
2019-01-07,Colombo,76.09034
2019-01-08,Colombo,72.45139
2019-01-09,Colombo,68.98421
2019-01-10,Colombo,65.527306
2019-01-11,Colombo,62.973484
2019-01-12,Colombo,62.241184
2019-01-13,Colombo,65.68068
2019-01-14,Colombo,69.63175
2019-01-15,Colombo,72.620705
2019-01-16,Colombo,72.45139
2019-01-17,Colombo,70.44963
2019-01-18,Colombo,67.70685
2019-01-19,Colombo,64.313065
2019-01-20,Colombo,61.086903
2019-01-21,Colombo,58.15616
2019-01-22,Colombo,55.493694
2019-01-23,Colombo,52.95106
2019-01-24,Colombo,50.76068
2019-01-25,Colombo,48.65923
2019-01-26,Colombo,46.863003
2019-01-27,Colombo,46.4242
2019-01-28,Colombo,45.55861
2019-01-29,Colombo,44.185593
2019-01-30,Colombo,42.451023
2019-01-31,Colombo,40.783043
2019-02-01,Colombo,39.179077
2019-02-02,Colombo,37.815037
2019-02-03,Colombo,40.783043
2019-02-04,Colombo,71.110756
2019-02-05,Colombo,90.622055
2019-02-06,Colombo,91.25715
2019-02-07,Colombo,85.89604
2019-02-08,Colombo,97.401115
2019-02-09,Colombo,312.3286
2019-02-10,Colombo,329.36957
2019-02-11,Colombo,238.88336
2019-02-12,Colombo,188.23434
2019-02-13,Colombo,158.9558
2019-02-14,Colombo,140.25378
2019-02-15,Colombo,131.12958
2019-02-16,Colombo,171.9816
2019-02-17,Colombo,189.98528
2019-02-18,Colombo,171.9816
2019-02-19,Colombo,152.81548
2019-02-20,Colombo,138.95871
2019-02-21,Colombo,127.82492
2019-02-22,Colombo,118.12419
2019-02-23,Colombo,110.17317
2019-02-24,Colombo,103.47204
2019-02-25,Colombo,97.85531
2019-02-26,Colombo,99.0
2019-02-27,Colombo,101.3293
2019-02-28,Colombo,100.859116
2019-03-01,Colombo,96.94901
2019-03-02,Colombo,91.89665
2019-03-03,Colombo,88.12511
2019-03-04,Colombo,87.71559
2019-03-05,Colombo,86.49838
2019-03-06,Colombo,83.1395
2019-03-07,Colombo,80.096115
2019-03-08,Colombo,76.80366
2019-03-09,Colombo,74.85776
2019-03-10,Colombo,71.61059
2019-03-11,Colombo,68.66266
2019-03-12,Colombo,66.452805
2019-03-13,Colombo,64.16284
2019-03-14,Colombo,61.51727
2019-03-15,Colombo,59.255955
2019-03-16,Colombo,58.15616
2019-03-17,Colombo,77.34297
2019-03-18,Colombo,111.201836
2019-03-19,Colombo,115.94996
2019-03-20,Colombo,102.27612
2019-03-21,Colombo,100.859116
2019-03-22,Colombo,102.27612
2019-03-23,Colombo,102.992004
2019-03-24,Colombo,95.827774
2019-03-25,Colombo,88.33054
2019-03-26,Colombo,82.36812
2019-03-27,Colombo,77.34297
2019-03-28,Colombo,73.301926
2019-03-29,Colombo,69.469315
2019-03-30,Colombo,65.98846
2019-03-31,Colombo,62.973484
2019-04-01,Colombo,60.23503
2019-04-02,Colombo,57.61382
2019-04-03,Colombo,55.23413
2019-04-04,Colombo,52.95106
2019-04-05,Colombo,50.999596
2019-04-06,Colombo,48.888443
2019-04-07,Colombo,47.08394
2019-04-08,Colombo,45.451534
2019-04-09,Colombo,40.783043
2019-04-10,Colombo,40.114967
2019-04-11,Colombo,42.25139
2019-04-12,Colombo,42.351086
2019-04-13,Colombo,42.25139
2019-04-14,Colombo,40.114967
2019-04-15,Colombo,41.953644
2019-04-16,Colombo,76.44619
2019-04-17,Colombo,71.27698
2019-04-18,Colombo,76.80366
2019-04-19,Colombo,86.297134
2019-04-20,Colombo,163.43721
2019-04-21,Colombo,171.9816
2019-04-22,Colombo,145.55475
2019-04-23,Colombo,133.2765
2019-04-24,Colombo,127.23306
2019-04-25,Colombo,122.31051
2019-04-26,Colombo,119.226425
2019-04-27,Colombo,114.08007
2019-04-28,Colombo,110.68635
2019-04-29,Colombo,117.850235
2019-04-30,Colombo,121.46164
2019-05-01,Colombo,117.850235
2019-05-02,Colombo,112.5011
2019-05-03,Colombo,118.39878
2019-05-04,Colombo,111.201836
2019-05-05,Colombo,103.95422
2019-05-06,Colombo,96.723724
2019-05-07,Colombo,91.25715
2019-05-08,Colombo,86.297134
2019-05-09,Colombo,81.79421
2019-05-10,Colombo,78.06786
2019-05-11,Colombo,75.91305
2019-05-12,Colombo,76.09034
2019-05-13,Colombo,74.85776
2019-05-14,Colombo,73.64488
2019-05-15,Colombo,70.77942
2019-05-16,Colombo,70.12135
2019-05-17,Colombo,68.02398
2019-05-18,Colombo,66.14289
2019-05-19,Colombo,64.91739
2019-05-20,Colombo,63.565414
2019-05-21,Colombo,63.120964
2019-05-22,Colombo,61.086903
2019-05-23,Colombo,61.373478
2019-05-24,Colombo,67.54882
2019-05-25,Colombo,70.44963
2019-05-26,Colombo,65.8344
2019-05-27,Colombo,62.38698
2019-05-28,Colombo,60.517693
2019-05-29,Colombo,66.452805
2019-05-30,Colombo,69.307236
2019-05-31,Colombo,65.527306
2019-06-01,Colombo,60.659496
2019-06-02,Colombo,58.15616
2019-06-03,Colombo,60.80164
2019-06-04,Colombo,71.77798
2019-06-05,Colombo,86.49838
2019-06-06,Colombo,95.3829
2019-06-07,Colombo,97.62794
2019-06-08,Colombo,89.364944
2019-06-09,Colombo,93.84184
2019-06-10,Colombo,91.68298
2019-06-11,Colombo,85.099365
2019-06-12,Colombo,87.30798
2019-06-13,Colombo,104.68173
2019-06-14,Colombo,99.0
2019-06-15,Colombo,93.6237
2019-06-16,Colombo,92.11079
2019-06-17,Colombo,95.827774
2019-06-18,Colombo,96.498955
2019-06-19,Colombo,93.6237
2019-06-20,Colombo,103.23171
2019-06-21,Colombo,107.392715
2019-06-22,Colombo,122.31051
2019-06-23,Colombo,116.219536
2019-06-24,Colombo,108.90056
2019-06-25,Colombo,105.9055
2019-06-26,Colombo,103.95422
2019-06-27,Colombo,102.03861
2019-06-28,Colombo,96.723724
2019-06-29,Colombo,92.11079
2019-06-30,Colombo,88.12511
2019-07-01,Colombo,85.099365
2019-07-02,Colombo,83.52789
2019-07-03,Colombo,81.79421
2019-07-04,Colombo,79.167816
2019-07-05,Colombo,75.91305
2019-07-06,Colombo,73.13103
2019-07-07,Colombo,71.945755
2019-07-08,Colombo,70.77942
2019-07-09,Colombo,71.61059
2019-07-10,Colombo,73.47319
2019-07-11,Colombo,70.44963
2019-07-12,Colombo,68.50243
2019-07-13,Colombo,67.86524
