,NAME,DATE,PRCP,TAVG,TMAX,TMIN
0,"KURUNEGALA, CE",2019-01-02,0.0,78,,72.0
1,"KURUNEGALA, CE",2019-01-03,0.0,81,87.0,71.0
2,"KURUNEGALA, CE",2019-01-04,0.0,83,88.0,69.0
3,"KURUNEGALA, CE",2019-01-05,0.0,84,90.0,65.0
4,"KURUNEGALA, CE",2019-01-06,0.0,82,88.0,71.0
5,"KURUNEGALA, CE",2019-01-07,0.0,80,89.0,68.0
6,"KURUNEGALA, CE",2019-01-08,0.0,82,90.0,71.0
7,"KURUNEGALA, CE",2019-01-09,0.0,83,89.0,71.0
8,"KURUNEGALA, CE",2019-01-10,0.0,81,88.0,72.0
9,"KURUNEGALA, CE",2019-01-11,0.0,85,90.0,73.0
10,"KURUNEGALA, CE",2019-01-12,0.0,84,90.0,74.0
11,"KURUNEGALA, CE",2019-01-13,0.0,82,87.0,72.0
12,"KURUNEGALA, CE",2019-01-14,0.0,80,86.0,74.0
13,"KURUNEGALA, CE",2019-01-15,0.0,81,,72.0
14,"KURUNEGALA, CE",2019-01-16,0.0,82,89.0,74.0
15,"KURUNEGALA, CE",2019-01-17,0.0,80,,72.0
16,"KURUNEGALA, CE",2019-01-19,0.0,82,89.0,66.0
17,"KURUNEGALA, CE",2019-01-20,0.0,80,,69.0
18,"KURUNEGALA, CE",2019-01-21,0.0,82,90.0,69.0
19,"KURUNEGALA, CE",2019-01-22,0.0,82,92.0,69.0
20,"KURUNEGALA, CE",2019-01-23,0.0,82,92.0,69.0
21,"KURUNEGALA, CE",2019-01-24,0.0,83,92.0,70.0
22,"KURUNEGALA, CE",2019-01-26,0.0,87,94.0,76.0
23,"KURUNEGALA, CE",2019-01-27,0.0,84,94.0,70.0
24,"KURUNEGALA, CE",2019-01-28,0.0,82,91.0,71.0
25,"KURUNEGALA, CE",2019-01-29,0.0,81,92.0,67.0
26,"KURUNEGALA, CE",2019-01-30,0.0,85,,70.0
27,"KURUNEGALA, CE",2019-01-31,0.0,84,92.0,71.0
28,"KURUNEGALA, CE",2019-02-01,0.0,87,94.0,71.0
29,"KURUNEGALA, CE",2019-02-02,0.0,87,93.0,72.0
30,"KURUNEGALA, CE",2019-02-03,0.0,83,,72.0
31,"KURUNEGALA, CE",2019-02-04,0.0,82,88.0,76.0
