Year,Annual CO₂ emissions
1950,1626816.0
1951,1545941.0
1952,1938019.0
1953,2066229.1
1954,1784041.0
1955,1663159.0
1956,1417611.0
1957,2319104.0
1958,1948922.0
1959,2055116.9
1960,2256667.0
1961,2333641.0
1962,2560779.0
1963,2531527.0
1964,2271383.0
1965,2656043.0
1966,2659737.0
1967,2945083.0
1968,3238085.0
1969,4315063.0
1970,3593077.0
1971,3193463.0
1972,3537879.0
1973,3684292.0
1974,2929301.0
1975,2892985.0
1976,2798767.0
1977,2911038.0
1978,3435544.0
1979,3809016.0
1980,3388599.0
1981,4005570.0
1982,4466889.0
1983,4854898.0
1984,3852101.0
1985,3916566.0
1986,3660301.0
1987,4026917.0
1988,3456638.0
1989,3447011.0
1990,3830820.0
1991,4138236.0
1992,5106336.0
1993,4975431.0
1994,5435205.0
1995,5814277.0
1996,6970579.0
1997,7520293.0
1998,7735926.0
1999,8516617.0
2000,10134099.0
2001,10326369.0
2002,10948020.0
2003,10953041.0
2004,12147363.0
2005,11935225.0
2006,11792541.0
2007,12151910.0
2008,11987291.0
2009,12944645.0
2010,13050987.0
2011,14886152.0
2012,15798102.0
2013,14510512.0
2014,17420012.0
2015,19687388.0
2016,22986968.0
2017,22872902.0
2018,20096860.0
2019,21232160.0
2020,20624664.0
2021,20118602.0
2022,17327094.0
