"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01",,,,,"0","3,S","0","3,S","0","3,S","0","3,S",,,,,,,"65","3,S,05,","0.00","3,,S,31,+",,,,,,,"0.00","3,,,S",,,,,"70.7","3,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02",,,,,"3","4,S","2","4,S","0","4,S","0","4,S",,,,,,,"67","4,S,23,","2.51","4,,S,10,",,,,,,,"2.95","4,,,S",,,,,"72.8","4,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08",,,,,"14","5,S","11","5,S","0","5,S","0","5,S",,,,,,,"72","5,S,23,","0.98","5,,S,08,",,,,,,,"4.58","5,,,S",,,,,"75.5","5,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09",,,,,"16","4,S","12","4,S",,,,,,,,,,,,,"0.98","4,,S,24,+",,,,,,,"5.68","4,,,S",,,,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-10",,,,,"24","4,S","17","4,S","0","4,S","0","4,S",,,,,,,"71","4,S,07,","3.13","4,,S,14,",,,,,,,"17.39","4,,,S",,,,,"72.8","4,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-11",,,"490","1,S","13",",S","7",",S","0",",S","0",",S","0","1,S","29","1,S","23","1,S","70",",S,21,","1.73",",,S,17,","92","1,S,15,",,,"0","1,S","5.26",",,,S","81.9","1,S","90.5","1,,,S","73.4",",,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-12",,,,,"10","5,S","10","5,S",,,,,,,,,,,,,"7.43","5,,S,01,",,,,,,,"12.63","5,,,S",,,,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-01","455","S","455","4,S","4",",S","2",",S","0","2,S","0","2,S","0","2,S","29","2,S","24","2,S","68","2,S,30,","0.65",",,S,22,","96","2,S,19,",,,"0","2,S","0.88",",,,S","81.8","4,S","91.9","2,,,S","71.6","2,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-02","949","S","494","2,S","1",",S","0",",S","0",",S","0",",S","0","2,S","27","2,S","27","2,S","67",",S,01,","0.02",",,S,22,","99","2,S,16,",,,"0","2,S","0.02",",,,S","83.4","2,S","94.3","2,,,S","72.5",",,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-03",,,,,"5",",S","5",",S","0","2,S","0","2,S",,,,,,,"72","2,S,27,","0.59",",,S,07,",,,,,,,"2.07",",,,S",,,,,"74.9","2,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-04",,,,,"14",",S","10",",S","0","2,S","0","2,S",,,,,,,"71","2,S,02,","3.45",",,S,18,",,,,,,,"15.60",",,,S",,,,,"74.7","2,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-05",,,"523","3,S","19",",S","13",",S","0","3,S","0","3,S","0",",S","31",",S","22",",S","74","3,S,01,","3.54",",,S,16,","96",",S,03,",,,"0",",S","15.04",",,,S","83.7","3,S","91.2",",,,S","76.3","3,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-06",,,"516","2,S","18",",S","7",",S","0","1,S","0","1,S","0","1,S","29","1,S","18","1,S","74","1,S,06,","1.64",",,S,06,","94","1,S,04,",,,"0","1,S","3.70",",,,S","83.4","2,S","89.8","1,,,S","77.1","1,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-07",,,,,"15",",S","6",",S","0","5,S","0","5,S","0","3,S","28","3,S","16","3,S","73","5,S,21,","1.34",",,S,11,","94","3,S,09,",,,,,"4.63",",,,S","83.0","7,S","89.7","3,,,S","76.2","5,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-08",,,"544","1,S","9",",S","6",",S","0",",S","0",",S","0","1,S","30","1,S","16","1,S","74",",S,06,","1.03",",,S,02,","94","1,S,30,",,,"0","1,S","3.34",",,,S","83.1","1,S","89.9","1,,,S","76.3",",,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-09",,,,,"24",",S","17",",S",,,,,"0","2,S","28","2,S","3","2,S",,,"1.64",",,S,29,","91","2,S,27,+",,,,,"9.50",",,,S",,,"86.7","2,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-10",,,"473","4,S","11",",S","6",",S","0","3,S","0","3,S","0","1,S","30","1,S","10","1,S","75","3,S,14,+","0.74",",,S,15,","92","1,S,06,",,,"0","1,S","2.33",",,,S","82.5","4,S","89.1","1,,,S","75.9","3,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-11",,,,,"17",",S","14",",S",,,,,"0","1,S","29","1,S","16","1,S",,,"1.74",",,S,18,","94","1,S,05,",,,,,"9.81",",,,S",,,"89.5","1,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020-12",,,"387","5,S","13",",S","11",",S","0","5,S","0","5,S","0",",S","31",",S","5",",S","69","5,S,14,","2.35",",,S,03,","91",",S,07,",,,"0",",S","7.65",",,,S","79.4","5,S","86.1",",,,S","72.8","5,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-01","403","S","403","4,S","13",",S","9",",S","0","3,S","0","3,S","0","2,S","29","2,S","5","2,S","69","3,S,27,","3.27",",,S,07,","92","2,S,21,",,,"0","2,S","6.26",",,,S","79.8","4,S","87.0","2,,,S","72.7","3,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-02",,,,,"4","5,S","1","5,S",,,,,,,,,,,,,"0.12","5,,S,07,",,,,,,,"0.17","5,,,S",,,,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-03",,,,,"9",",S","6",",S","0","5,S","0","5,S","0","2,S","29","2,S","27","2,S","67","5,S,02,","1.20",",,S,21,","96","2,S,16,+",,,,,"2.60",",,,S","83.6","6,S","93.9","2,,,S","73.2","5,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-04",,,,,"9",",S","7",",S",,,,,"0","5,S","25","5,S","25","5,S",,,"2.04",",,S,12,","97","5,S,06,",,,,,"5.98",",,,S",,,"93.1","5,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-05",,,,,"22",",S","19",",S",,,,,"0","1,S","30","1,S","16","1,S",,,"2.93",",,S,25,","94","1,S,17,+",,,,,"19.02",",,,S",,,"89.3","1,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-06",,,,,"14",",S","9",",S",,,,,"0","2,S","28","2,S","13","2,S",,,"1.99",",,S,05,","91","2,S,20,",,,,,"8.46",",,,S",,,"89.0","2,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-07",,,,,"14",",S","8",",S",,,,,"0","4,S","27","4,S","7","4,S",,,"1.34",",,S,10,","94","4,S,05,",,,,,"4.08",",,,S",,,"88.7","4,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-08",,,"453","5,S","12","1,S","4","1,S","0","4,S","0","4,S","0","2,S","29","2,S","4","2,S","74","4,S,27,+","1.22","1,,S,26,","92","2,S,20,",,,"0","2,S","2.70","1,,,S","82.3","5,S","88.3","2,,,S","76.4","4,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-09",,,"427","5,S","21",",S","14",",S","0","5,S","0","5,S","0",",S","30",",S","7",",S","73","5,S,28,","1.59",",,S,25,","92",",S,24,",,,"0",",S","6.07",",,,S","82.1","5,S","88.2",",,,S","76.0","5,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-10",,,,,"22",",S","17",",S",,,,,"0","1,S","30","1,S","5","1,S",,,"3.67",",,S,21,","91","1,S,20,",,,,,"12.31",",,,S",,,"87.9","1,,,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-11",,,,,"25",",S","24",",S","0","5,S","0","5,S","0","3,S","27","3,S","1","3,S","71","5,S,22,","3.44",",,S,28,","91","3,S,02,",,,,,"28.73",",,,S","79.7","8,S","85.7","3,,,S","73.7","5,,,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021-12",,,"412","5,S","8",",S","1",",S","0","5,S","0","5,S","0",",S","31",",S","13",",S","67","5,S,26,","1.55",",,S,07,","92",",S,31,",,,"0",",S","1.87",",,,S","80.8","5,S","89.5",",,,S","72.1","5,,,S"
