"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2020",,,,,"       150","S","        97","S",,,,,,,,,,,,,"3.54"," ,S,0516, ",,,,,,,"74.57"," ,S",,,,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2021",,,,,"       173","S","       119","S",,,,,,,,,,,,,"3.67"," ,S,1021, ",,,,,,,"98.27"," ,S",,,,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2023",,,,,"       177","S","       126","S",,,,,"         0","S","       350","S","       192","S",,,"5.72"," ,S,0405, ","97","S,0412,+",,,,,"92.29"," ,S",,,"90.2","S",,
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2019",,,,,"       182","S","       127","S",,,,,,,,,,,,,"4.96"," ,S,0924, ",,,,,,,"107.04"," ,S",,,,,,
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2020",,,,,"       157","S","       100","S",,,,,,,,,,,,,"5.94"," ,S,0909, ",,,,,,,"81.54"," ,S",,,,,,
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2021",,,,,"       205","S","       147","S",,,,,,,,,,,,,"5.33"," ,S,0604, ",,,,,,,"113.35"," ,S",,,,,,
"CEM00043466","COLOMBO, CE","6.9","79.867","7.0","2023",,,,,"       201","S","       143","S",,,,,"         0","S","       343","S","        66","S",,,"4.42"," ,S,0903, ","93","S,1222, ",,,,,"128.10"," ,S",,,"88.3","S",,
"CE000434730","NUWARA ELIYA, CE","6.967","80.767","1880.0","2020",,,,,"       180","S","       113","S",,,,,,,,,,,,,"2.35"," ,S,0513, ",,,,,,,"61.20"," ,S",,,,,,
"CE000434730","NUWARA ELIYA, CE","6.967","80.767","1880.0","2021",,,,,"       209","S","       135","S",,,,,,,,,,,,,"3.71"," ,S,0710, ",,,,,,,"75.91"," ,S",,,,,,
"CE000434730","NUWARA ELIYA, CE","6.967","80.767","1880.0","2023",,,,,"       206","S","       146","S",,,,,"         0","S","       158","S","         0","S",,,"4.02"," ,S,0310, ","77","S,0517, ",,,,,"87.98"," ,S",,,"69.2","S",,
